,park,congest,peak season,capacity,busy season,high demand,limited availability,traffic,total,FinalCluster,Label
0,ABLI,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
1,ACAD,9,1,6,0,0,0,24,40,1.0,Transit Parks
2,ADAM,0,0,2,0,0,0,44,46,1.0,Transit Parks
3,AFBG,0,0,0,0,0,0,0,0,2.0,Urban Sites
4,AGFO,0,0,1,0,0,0,0,1,7.0,Rural Low Visitation
5,ALAG,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
6,ALFL,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
7,ALKA,0,0,0,0,0,0,0,0,,
8,ALPO,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
9,AMIS,0,0,13,0,0,0,5,18,8.0,Rural High Visitation
10,AMME,0,0,0,0,0,0,0,0,,
11,ANDE,0,0,2,0,0,0,0,2,7.0,Rural Low Visitation
12,ANIA,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
13,ANJO,0,0,0,0,0,0,1,1,4.0,Urban Low Visitation
14,ANTI,0,0,0,0,0,0,7,7,4.0,Urban Low Visitation
15,APCO,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
16,APIS,0,0,2,0,0,0,3,5,6.0,High Seasonal Variation
17,APPA,0,0,0,0,0,0,0,0,,
18,ARCH,27,1,5,13,0,0,102,148,8.0,Rural High Visitation
19,ARHO,0,0,1,0,0,0,14,15,2.0,Urban Sites
20,ARPO,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
21,ASIS,0,0,0,0,0,0,2,2,8.0,Rural High Visitation
22,AZRU,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
23,BADL,1,0,4,0,0,0,1,6,8.0,Rural High Visitation
24,BAND,0,0,2,0,0,0,7,9,1.0,Transit Parks
25,BELA,0,0,0,0,0,0,1,1,6.0,High Seasonal Variation
26,BEOL,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
27,BEPA,0,0,0,0,0,0,0,0,2.0,Urban Sites
28,BIBE,1,2,20,2,1,0,4,30,8.0,Rural High Visitation
29,BICA,0,0,0,0,0,0,1,1,8.0,Rural High Visitation
30,BICY,1,0,2,1,0,0,2,6,6.0,High Seasonal Variation
31,BIHO,0,0,1,0,0,0,3,4,7.0,Rural Low Visitation
32,BISC,1,0,0,0,0,0,25,26,5.0,Urban High Visitation
33,BISO,0,0,1,0,0,0,48,49,8.0,Rural High Visitation
34,BITH,0,0,0,0,0,0,1,1,4.0,Urban Low Visitation
35,BLCA,0,0,8,5,0,0,3,16,6.0,High Seasonal Variation
36,BLRI,2,0,1,1,0,0,18,22,1.0,Transit Parks
37,BLUE,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
38,BOAF,0,0,0,0,0,0,1,1,2.0,Urban Sites
39,BOHA,0,0,22,0,0,0,0,22,1.0,Transit Parks
40,BOST,1,0,0,0,0,0,1,2,5.0,Urban High Visitation
41,BOWA,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
42,BRCA,13,7,26,0,0,0,44,90,1.0,Transit Parks
43,BRCR,0,0,0,0,0,0,0,0,,
44,BRVB,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
45,BUFF,0,0,0,0,0,0,1,1,8.0,Rural High Visitation
46,BUIS,0,0,0,0,0,0,1,1,7.0,Rural Low Visitation
47,CABR,2,0,8,0,0,0,13,23,5.0,Urban High Visitation
48,CACH,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
49,CACL,0,0,0,0,0,0,2,2,2.0,Urban Sites
50,CACO,1,0,2,0,0,0,6,9,1.0,Transit Parks
51,CAGR,0,0,0,0,0,0,8,8,4.0,Urban Low Visitation
52,CAHA,0,0,4,0,0,0,3,7,8.0,Rural High Visitation
53,CAKR,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
54,CALO,0,0,0,0,0,0,0,0,1.0,Transit Parks
55,CAMO,0,0,0,0,0,0,0,0,,
56,CANA,0,0,7,0,0,0,24,31,5.0,Urban High Visitation
57,CANY,1,3,6,0,0,0,4,14,8.0,Rural High Visitation
58,CARE,0,0,10,4,0,0,6,20,8.0,Rural High Visitation
59,CARI,0,0,6,0,0,0,0,6,7.0,Rural Low Visitation
60,CARL,0,0,0,0,0,0,0,0,1.0,Transit Parks
61,CASA,0,0,1,0,0,0,7,8,5.0,Urban High Visitation
62,CATO,1,0,0,0,0,0,20,21,4.0,Urban Low Visitation
63,CAVE,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
64,CAVO,0,0,5,0,0,0,23,28,6.0,High Seasonal Variation
65,CAWO,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
66,CBGN,0,0,0,0,0,0,0,0,,
67,CEBE,0,0,0,0,0,0,14,14,,
68,CEBR,1,0,0,0,0,0,0,1,8.0,Rural High Visitation
69,CECH,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
70,CHAM,1,0,0,0,0,0,8,9,4.0,Urban Low Visitation
71,CHAT,0,0,1,0,0,0,1,2,5.0,Urban High Visitation
72,CHCH,1,0,0,0,0,0,1,2,5.0,Urban High Visitation
73,CHCU,0,0,14,1,0,0,37,52,7.0,Rural Low Visitation
74,CHIC,0,0,0,0,0,0,5,5,8.0,Rural High Visitation
75,CHIR,0,0,2,0,0,0,0,2,7.0,Rural Low Visitation
76,CHIS,0,0,1,0,0,0,1,2,1.0,Transit Parks
77,CHOH,0,4,7,0,0,0,26,37,5.0,Urban High Visitation
78,CHPI,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
79,CHRI,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
80,CHSC,1,0,1,0,0,0,2,4,4.0,Urban Low Visitation
81,CHYO,0,0,0,0,0,0,1,1,3.0,Low Visitation Sites
82,CIRO,0,1,0,0,0,0,0,1,7.0,Rural Low Visitation
83,CLBA,0,0,2,0,0,0,22,24,2.0,Urban Sites
84,COGA,0,0,0,0,0,0,0,0,,
85,COLM,0,0,9,0,0,0,14,23,8.0,Rural High Visitation
86,COLO,0,0,0,0,0,0,47,47,5.0,Urban High Visitation
87,CONG,0,0,1,0,0,0,0,1,4.0,Urban Low Visitation
88,CORO,0,0,2,0,0,0,2,4,4.0,Urban Low Visitation
89,COWP,1,0,1,0,0,0,22,24,4.0,Urban Low Visitation
90,CRLA,4,0,7,0,0,0,25,36,8.0,Rural High Visitation
91,CRMO,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
92,CRMP,0,0,0,0,0,0,0,0,,
93,CUGA,0,0,1,0,0,0,26,27,5.0,Urban High Visitation
94,CUIS,1,0,0,0,0,0,1,2,1.0,Transit Parks
95,CURE,0,0,5,0,0,0,1,6,8.0,Rural High Visitation
96,CUVA,6,1,2,0,0,0,1,10,1.0,Transit Parks
97,DAAV,0,0,0,0,0,0,10,10,2.0,Urban Sites
98,DELA,0,0,0,0,0,0,0,0,,
99,DENA,1,1,3,0,0,1,59,65,1.0,Transit Parks
100,DEPO,5,0,1,0,0,0,10,16,1.0,Transit Parks
101,DESO,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
102,DETO,4,0,7,0,0,0,7,18,8.0,Rural High Visitation
103,DEVA,0,1,2,1,0,0,9,13,8.0,Rural High Visitation
104,DEWA,0,0,2,0,0,0,7,9,1.0,Transit Parks
105,DINO,0,0,8,0,0,0,1,9,1.0,Transit Parks
106,DRTO,0,0,4,0,0,0,0,4,1.0,Transit Parks
107,EBLA,0,0,0,0,0,0,0,0,,
108,EDAL,0,0,0,0,0,0,21,21,2.0,Urban Sites
109,EDIS,0,0,1,0,0,0,21,22,4.0,Urban Low Visitation
110,EFMO,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
111,EISE,0,0,0,0,0,0,0,0,1.0,Transit Parks
112,ELMA,0,0,1,0,0,0,0,1,7.0,Rural Low Visitation
113,ELMO,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
114,ELRO,3,0,0,0,0,0,3,6,4.0,Urban Low Visitation
115,EUON,0,0,0,0,0,0,8,8,1.0,Transit Parks
116,EVER,7,0,10,3,0,0,17,37,8.0,Rural High Visitation
117,FEHA,0,0,0,0,0,0,14,14,2.0,Urban Sites
118,FIIS,0,0,0,0,0,0,21,21,1.0,Transit Parks
119,FILA,0,0,2,0,0,0,0,2,3.0,Low Visitation Sites
120,FLFO,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
121,FLNI,0,0,0,0,0,0,1,1,8.0,Rural High Visitation
122,FOBO,0,1,0,0,0,0,0,1,7.0,Rural Low Visitation
123,FOBU,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
124,FOCA,0,0,0,0,0,0,6,6,4.0,Urban Low Visitation
125,FODA,0,0,4,0,0,0,0,4,7.0,Rural Low Visitation
126,FODO,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
127,FOFR,1,0,0,0,0,0,65,66,4.0,Urban Low Visitation
128,FOLA,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
129,FOLS,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
130,FOMA,0,0,2,0,0,0,1,3,1.0,Transit Parks
131,FOMC,0,0,1,0,0,0,0,1,5.0,Urban High Visitation
132,FOMR,0,0,0,0,0,0,5,5,,
133,FONE,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
134,FOPO,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
135,FOPU,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
136,FORA,0,0,0,0,0,0,1,1,8.0,Rural High Visitation
137,FOSC,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
138,FOSM,0,0,0,0,0,0,18,18,3.0,Low Visitation Sites
139,FOST,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
140,FOSU,0,0,1,0,0,0,0,1,1.0,Transit Parks
141,FOTH,0,0,0,0,0,0,2,2,2.0,Urban Sites
142,FOUN,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
143,FOUS,0,0,0,0,0,0,7,7,7.0,Rural Low Visitation
144,FOVA,0,0,6,0,0,0,20,26,5.0,Urban High Visitation
145,FOWA,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
146,FRDE,0,0,0,0,0,0,0,0,2.0,Urban Sites
147,FRDO,0,0,2,1,0,0,0,3,2.0,Urban Sites
148,FRHI,0,0,0,0,0,0,2,2,6.0,High Seasonal Variation
149,FRLA,0,0,0,0,0,0,0,0,2.0,Urban Sites
150,FRSP,0,2,0,0,0,0,83,85,5.0,Urban High Visitation
151,FRST,0,0,0,0,0,0,0,0,,
152,GAAR,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
153,GARI,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
154,GATE,0,0,0,0,0,0,2,2,5.0,Urban High Visitation
155,GEGR,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
156,GERO,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
157,GETT,0,0,0,0,0,0,10,10,5.0,Urban High Visitation
158,GEWA,0,0,0,0,0,0,24,24,7.0,Rural Low Visitation
159,GICL,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
160,GLAC,29,11,11,0,0,0,33,84,1.0,Transit Parks
161,GLBA,0,0,0,0,0,0,4,4,1.0,Transit Parks
162,GLCA,2,0,7,0,0,0,9,18,1.0,Transit Parks
163,GOGA,0,0,1,0,0,0,2,3,1.0,Transit Parks
164,GOIS,0,0,0,0,0,0,0,0,1.0,Transit Parks
165,GOSP,0,0,2,0,0,0,0,2,7.0,Rural Low Visitation
166,GRBA,2,5,2,1,0,0,3,13,8.0,Rural High Visitation
167,GRCA,5,2,22,48,4,1,135,217,1.0,Transit Parks
168,GREE,0,0,0,0,0,0,15,15,4.0,Urban Low Visitation
169,GREG,0,0,0,0,0,0,0,0,,
170,GRKO,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
171,GRPO,0,0,0,0,0,0,3,3,6.0,High Seasonal Variation
172,GRSA,0,0,4,1,0,0,17,22,6.0,High Seasonal Variation
173,GRSM,7,2,12,0,0,0,114,135,8.0,Rural High Visitation
174,GRTE,6,9,5,0,1,0,18,39,8.0,Rural High Visitation
175,GUCO,0,0,0,0,0,0,3,3,5.0,Urban High Visitation
176,GUIS,0,0,1,0,0,0,45,46,1.0,Transit Parks
177,GUMO,1,0,9,0,0,0,3,13,8.0,Rural High Visitation
178,GWCA,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
179,GWMP,0,0,1,0,0,0,5,6,5.0,Urban High Visitation
180,HAFE,1,0,11,0,0,0,2,14,1.0,Transit Parks
181,HAFO,0,0,0,0,0,0,7,7,7.0,Rural Low Visitation
182,HAGR,0,0,2,0,0,0,0,2,2.0,Urban Sites
183,HALE,3,0,13,1,0,0,2,19,8.0,Rural High Visitation
184,HAMP,0,0,0,0,0,0,1,1,4.0,Urban Low Visitation
185,HATU,0,0,0,0,0,0,2,2,,
186,HAVO,2,0,6,2,0,7,3,20,8.0,Rural High Visitation
187,HEHO,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
188,HOBE,0,0,0,0,0,0,27,27,7.0,Rural Low Visitation
189,HOCU,0,0,0,0,0,0,1,1,4.0,Urban Low Visitation
190,HOFR,6,0,0,0,0,0,2,8,1.0,Transit Parks
191,HOFU,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
192,HOME,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
193,HONO,0,0,0,0,0,0,0,0,,
194,HOSP,0,0,0,0,0,0,9,9,5.0,Urban High Visitation
195,HOVE,0,0,0,1,0,0,6,7,7.0,Rural Low Visitation
196,HSTR,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
197,HUTR,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
198,IATR,0,0,0,0,0,0,0,0,,
199,INDE,0,0,0,0,0,0,0,0,2.0,Urban Sites
200,INDU,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
201,ISRO,3,0,2,0,0,0,1,6,1.0,Transit Parks
202,JAGA,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
203,JAZZ,0,0,0,0,0,0,0,0,2.0,Urban Sites
204,JECA,0,1,3,0,0,2,10,16,6.0,High Seasonal Variation
205,JEFF,0,0,6,0,0,0,0,6,5.0,Urban High Visitation
206,JEFM,0,0,0,0,0,0,0,0,,
207,JELA,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
208,JICA,0,0,0,0,0,0,23,23,7.0,Rural Low Visitation
209,JODA,0,0,0,0,0,0,2,2,8.0,Rural High Visitation
